Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,France,France,FR,64.93,91.30,86.36,21.16,opendata.reseaux-energies.fr
2022-02-01 00:00:00,France,France,FR,49.41,72.98,89.47,25.51,opendata.reseaux-energies.fr
2022-03-01 00:00:00,France,France,FR,67.37,95.86,86.01,25.16,opendata.reseaux-energies.fr
2022-04-01 00:00:00,France,France,FR,51.64,78.43,88.71,32.19,opendata.reseaux-energies.fr
2022-05-01 00:00:00,France,France,FR,44.30,71.13,89.55,31.50,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-06-01 00:00:00,France,France,FR,56.60,83.27,87.50,23.58,Electricity Maps Estimation
2022-07-01 00:00:00,France,France,FR,70.23,101.70,84.89,27.59,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-08-01 00:00:00,France,France,FR,67.56,98.29,85.57,28.62,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-09-01 00:00:00,France,France,FR,70.04,102.23,84.71,27.58,opendata.reseaux-energies.fr
2022-10-01 00:00:00,France,France,FR,62.31,90.94,85.66,27.52,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-11-01 00:00:00,France,France,FR,67.81,96.54,85.11,29.50,opendata.reseaux-energies.fr
2022-12-01 00:00:00,France,France,FR,82.62,111.37,84.18,25.24,opendata.reseaux-energies.fr
